scientificName,PopulationSize.range
Pilosocereus frewenii,30-45
Pilosocereus tillianus,NA
Discocactus petr-halfari,NA
Raja radula,NA
Arthroleptis bioko,NA
Hippocampus kuda,NA
Arthroleptis kutogundua,NA
Nimbaphrynoides occidentalis,NA
Afrixalus lacteus,NA
Cardioglossa manengouba,NA
Astylosternus ranoides,NA
Cardioglossa melanogaster,NA
Cardioglossa oreas,NA
Cardioglossa pulchra,NA
Cardioglossa trifasciata,NA
Cardioglossa venusta,NA
Leptodactylodon axillaris,NA
Leptodactylodon erythrogaster,NA
Leptodactylodon mertensi,NA
Werneria bambutensis,NA
Wolterstorffina chirioi,NA
Wolterstorffina mirei,NA
Hyperolius nimbae,NA
Phrynobatrachus pintoi,NA
Xenopus amieti,NA
Arthroleptis nikeae,NA
Arthroleptis tanneri,NA
Callulina kisiwamsitu,NA
Probreviceps rungwensis,NA
Probreviceps uluguruensis,NA
Mertensophryne uzunguensis,NA
Nectophrynoides asperginis,NA
Nectophrynoides minutus,NA
Nectophrynoides pseudotornieri,NA
Nectophrynoides vestergaardi,NA
Callixalus pictus,NA
Chrysobatrachus cupreonitens,NA
Hyperolius leucotaenius,NA
Phrynobatrachus asper,NA
Phrynobatrachus sulfureogularis,NA
Boulengerula changamwensis,NA
Boulengerula taitana,NA
Scolecomorphus uluguruensis,NA
Leptopelis ragazzii,NA
Leptopelis susanae,NA
Leptopelis yaldeni,NA
Balebreviceps hillmani,NA
Probreviceps loveridgei,NA
Probreviceps rhodesianus,NA
Altiphrynoides malcolmi,NA
Mertensophryne lonnbergi,NA
Nectophrynoides cryptus,NA
Nectophrynoides laticeps,NA
Vandijkophrynus inyangae,NA
Afrixalus enseticola,NA
Afrixalus morerei,NA
Afrixalus uluguruensis,NA
Hyperolius kihangensis,NA
Hyperolius puncticulatus,NA
Paracassina kounhiensis,NA
Phrynobatrachus irangi,NA
Ptychadena nana,NA
Amietia inyangae,NA
Ericabatrachus baleensis,NA
Crotaphatrema lamottei,NA
Microcebus gerpi,NA
Amietia johnstoni,NA
Phrynobatrachus kinangopensis,NA
Hoplophryne rogersi,NA
Strongylopus rhodesianus,NA
Hoplophryne uluguruensis,NA
Probreviceps durirostris,NA
Strongylopus kitumbeine,NA
Hyperolius rubrovermiculatus,NA
Phlyctimantis keithae,NA
Hyperolius minutissimus,NA
Hyperolius tanneri,NA
Phrynobatrachus krefftii,NA
Arthroleptides martiensseni,NA
Arthroleptides yakusini,NA
Hippocampus trimaculatus,NA
Podocarpus buchii,NA
Scarus trispinosus,NA
Bolbometopon muricatum,NA
Podocarpus angustifolius,NA
Arthroleptis nlonakoensis,NA
Choeropsis liberiensis,2000-2499
Hippopotamus amphibius,NA
Osornophryne puruanta,NA
Bufoides meghalayanus,NA
Hippocampus erectus,NA
Praslinia cooperi,NA
Microgale jobihely,NA
Neamblysomus gunningi,NA
Amblysomus marleyi,NA
Amblysomus robustus,NA
Neamblysomus julianae,NA
Chlorotalpa duthieae,NA
Cryptochloris zyli,NA
Cryptochloris wintoni,NA
Rhynchocyon chrysopygus,13000
Rhynchocyon udzungwensis,NA
Carpitalpa arendsi,NA
Chrysospalax trevelyani,NA
Chrysospalax villosus,NA
Atelopus nocturnus,1-49
Rhinatrema shiv,NA
Lutrogale perspicillata,NA
Lutra sumatrana,NA
Lontra provocax,NA
Pteronura brasiliensis,NA
Aonyx cinereus,NA
Enhydra lutris,NA
Parantechinus apicalis,700
Antechinus bellus,"10000-100000, 20000"
Dasyurus viverrinus,10000-12000
Dasyurus hallucatus,NA
Sminthopsis psammophila,5000-10000
Myrmecobius fasciatus,800
Ailurops melanotis,NA
Spilocuscus rufoniger,NA
Spilocuscus papuensis,NA
Spilocuscus wilsoni,NA
Phalanger alexandrae,NA
Phalanger matanim,40
Phalanger lullulae,NA
Dorcopsis luctuosa,NA
Dorcopsis atrata,NA
Lagorchestes hirsutus,4000
Petrogale concinna,5000-10000
Petrogale sharmani,750
Petrogale lateralis,8000
Petrogale penicillata,20000
Lagostrophus fasciatus,2000-9000
Dendrolagus mbaiso,NA
Dendrolagus spadix,NA
Dendrolagus ursinus,NA
Dendrolagus matschiei,2500
Dendrolagus mayri,40
Dendrolagus stellarum,NA
Dendrolagus notatus,NA
Dendrolagus pulcherrimus,500
Dendrolagus dorianus,NA
Dendrolagus goodfellowi,NA
Dendrolagus inustus,NA
Onychogalea fraenata,800-1100
Thylogale lanatus,NA
Thylogale browni,NA
Thylogale brunii,NA
Lasiorhinus krefftii,80
Petaurus abidi,NA
Petaurus gracilis,NA
Gymnobelideus leadbeateri,"1100-11000, 2500"
Dactylopsila tatei,NA
Potorous gilbertii,49
Bettongia penicillata,12000-18000
Pseudochirulus schlegeli,NA
Pseudochirops coronatus,NA
Pseudocheirus occidentalis,3400
Zaglossus bruijnii,NA
Zaglossus attenboroughi,NA
Zaglossus bartoni,10000
Peroryctes broadbenti,NA
Perameles bougainville,1000-5000
Perameles gunnii,"10000-100000, 20000"
Echymipera davidi,NA
Rhynchomeles prattorum,NA
Macrotis lagotis,9000
Rhinolophus mehelyi,NA
Pteropus aruensis,1-49
Tomopeas ravus,NA
Rhinolophus cognatus,NA
Eumops floridanus,3000-5000
Saccopteryx antioquensis,NA
Lasiurus minor,NA
Pteronotus paraguanensis,NA
Acerodon jubatus,NA
Acerodon celebensis,NA
Acerodon mackloti,NA
Rhogeessa genowaysi,NA
Pteralopex flanneryi,NA
Rhinolophus montanus,NA
Rhogeessa mira,NA
Rhogeessa minutilla,NA
Hipposideros orbiculus,NA
Pteropus cognatus,NA
Nyctalus lasiopterus,0-9999
Rhinolophus madurensis,NA
Lasiurus degelidus,NA
Balantiopteryx io,NA
Natalus primus,NA
Lasiurus insularis,NA
Chiroderma improvisum,NA
Pteropus rennelli,NA
Lonchophylla dekeyseri,600
Lonchophylla bokermanni,NA
Lonchorhina marinkellei,NA
Lonchorhina fernandezi,150
Choeroniscus periosus,NA
Natalus jamaicensis,NA
Myonycteris brachycephala,NA
Sturnira nana,NA
Myotis atacamensis,NA
Myotis capaccinii,NA
Myotis dominicensis,NA
Vampyressa melissa,NA
Myotis findleyi,NA
Myotis scotti,NA
Paratriaenops auritus,NA
Pteralopex taki,"100-3000,400"
Myotis peninsularis,NA
Myotis planiceps,240
Myotis vivesi,NA
Amorphochilus schnablii,NA
Pteralopex anceps,NA
Pteralopex atrata,NA
Pteropus chrysoproctus,NA
Pteropus caniceps,NA
Pteropus dasymallus,3000-6000
Pteropus livingstonii,1300
Pteropus melanopogon,NA
Mormopterus minutus,NA
Mormopterus phrudus,NA
Mormopterus acetabulosus,NA
Pteropus pselaphon,200-250
Pteropus pohlei,NA
Pteropus rodricensis,20000
Pteropus rufus,300000
Pteropus temminckii,NA
Pteropus voeltzkowi,NA
Coleura seychellensis,50-100
Hipposideros edwardshilli,NA
Hipposideros durgadasi,NA
Hipposideros halophyllus,2500-9999
Hipposideros hypophyllus,150-200
Hipposideros coxi,NA
Musonycteris harrisoni,10000
Molossops aequatorianus,NA
Eptesicus guadeloupensis,NA
Leptonycteris nivalis,NA
Leptonycteris curasoae,NA
Phyllonycteris aphylla,250
Arielulus cuprosus,NA
Aproteles bulmerae,137-160
Muntiacus vuquangensis,NA
Mazama pandora,NA
Mazama nana,NA
Mazama bororo,8500
Axis calamianensis,NA
Rusa timorensis,9999
Axis porcinus,NA
Hippocamelus antisensis,4162-5750
Hippocamelus bisulcus,1048-1500
Elaphurus davidianus,NA
Muntiacus crinifrons,NA
Blastocerus dichotomus,NA
Hydropotes inermis,NA
Mazama bricenii,NA
Mazama rufina,NA
Mazama chunyi,NA
Rucervus eldii,NA
Rangifer tarandus,2890400
Rucervus duvaucelii,NA
Rusa marianna,NA
Rusa alfredi,700
Monodelphis reigi,NA
Monodelphis unistriata,2-10
Marmosa phaea,NA
Marmosops juninensis,NA
Marmosops handleyi,NA
Caenolestes convelatus,NA
Caenolestes condorensis,1000
Abrocoma boliviensis,NA
Geocapromys brownii,NA
Mysateles melanurus,NA
Cavia intermedia,24-60
Chinchilla chinchilla,NA
Ctenomys bonettoi,NA
Ctenomys roigi,NA
Ctenomys rionegrensis,NA
Ctenomys occultus,NA
Ctenomys osvaldoreigi,NA
Ctenomys sociabilis,NA
Ctenomys lami,NA
Dasyprocta ruatanica,NA
Sicista kazbegica,NA
Phyllomys brasiliensis,NA
Phyllomys lundi,NA
Phyllomys unicolor,NA
Phyllomys thomasi,NA
Phyllomys mantiqueirensis,NA
Santamartamys rufodorsalis,1-50
Trinomys moojeni,NA
Trinomys yonenagae,NA
Chaetomys subspinosus,NA
Heterogeomys lanius,NA
Zygogeomys trichopus,NA
Geomys tropicalis,NA
Dryomys niethammeri,NA
Heteromys nelsoni,NA
Heteromys oasicus,NA
Heteromys teleus,NA
Perognathus alticola,NA
Heteromys spectabilis,NA
Dipodomys elator,NA
Dipodomys gravipes,0-49
Hystrix pumila,NA
Brachytarsomys villosa,NA
Eliurus penicillatus,NA
Eliurus petteri,NA
Petinomys setosus,NA
Petinomys lugens,NA
Hylopetes sipora,NA
Pteromyscus pulverulentus,NA
Rheithrosciurus macrotis,NA
Tamiasciurus mearnsi,NA
Ammospermophilus nelsoni,NA
Callosciurus melanogaster,NA
Marmota sibirica,NA
Marmota vancouverensis,90
Funambulus layardi,NA
Xerospermophilus perotensis,NA
Neotamias palmeri,NA
Chimarrogale phaeura,NA
Cryptotis merus,NA
Cryptotis phillipsii,NA
Cryptotis endersi,NA
Myosorex eisentrauti,NA
Suncus aequatorius,NA
Notiosorex villai,NA
Crocidura negrina,NA
Crocidura picea,NA
Crocidura orii,NA
Crocidura wimmeri,NA
Crocidura trichura,0-200
Crocidura tarella,NA
Sorex pribilofensis,NA
Sorex milleri,NA
Desmana moschata,NA
Mogera uchidai,NA
Mogera etigo,NA
Hylomys parvus,NA
Podogymnura aureospinula,NA
Neohylomys hainanensis,NA
Atopogale cubana,NA
Microakodontomys transitorius,NA
Punomys lemminus,NA
Aegialomys galapagoensis,NA
Neusticomys venezuelae,NA
Neusticomys mussoi,NA
Phyllotis definitus,NA
Microtus umbrosus,NA
Microtus oaxacensis,NA
Megadontomys nelsoni,NA
Megadontomys cryophilus,NA
Aepeomys reigi,NA
Rheomys mexicanus,NA
Sigmodon inopinatus,NA
Bibimys torresi,NA
Xenomys nelsoni,NA
Peromyscus madrensis,NA
Peromyscus bullatus,NA
Peromyscus caniceps,NA
Peromyscus simulus,NA
Peromyscus winkelmanni,NA
Peromyscus zarhynchus,NA
Peromyscus melanocarpus,NA
Peromyscus sejugis,NA
Thomasomys rosalinda,NA
Thomasomys bombycinus,NA
Thomasomys ucucha,NA
Wilfredomys oenax,NA
Neotoma palatina,NA
Neotoma nelsoni,NA
Habromys chinanteco,NA
Habromys delicatulus,NA
Habromys lepturus,NA
Proedromys bedfordi,NA
Akodon surdus,NA
Reithrodontomys raviventris,NA
Reithrodontomys bakeri,NA
Reithrodontomys spectabilis,152
Reithrodontomys hirsutus,NA
Nesoryzomys fernandinae,NA
Nesoryzomys swarthi,NA
Nesoryzomys narboroughi,NA
Podoxymys roraimae,NA
Anotomys leander,NA
Otomys barbouri,NA
Pseudomys fieldi,10000
Pseudomys fumeus,"5000-50000, 10000"
Pseudomys novaehollandiae,8000
Pseudomys calabyi,15000
Notomys aquilo,10000
Notomys fuscus,NA
Hapalomys longicaudatus,NA
Lophuromys melanonyx,NA
Lophuromys medicaudatus,NA
Lophuromys eisentrauti,NA
Paramelomys gressitti,NA
Tokudaia muenninki,NA
Tokudaia osimensis,NA
Tokudaia tokunoshimensis,NA
Hadromys humei,NA
Thamnomys kempi,NA
Crateromys schadenbergi,NA
Crateromys heaneyi,NA
Cremnomys elvira,NA
Paraleptomys rufilatus,NA
Melomys bannisteri,NA
Melomys matambuai,NA
Taeromys taerae,NA
Solomys sapientis,NA
Pogonomys fergussoniensis,NA
Apomys camiguinensis,NA
Leopoldamys siporanus,NA
Bullimus gamay,NA
Rattus richardsoni,NA
Rattus burrus,NA
Uromys porculus,3
Uromys rex,NA
Uromys imperator,3
Uromys emmae,NA
Nesoromys ceramicus,NA
Mesembriomys gouldii,30000
Batomys russatus,NA
Haeromys pusillus,NA
Archboldomys luzonensis,NA
Conilurus penicillatus,50000
Hylomyscus grandis,NA
Bunomys coelestis,NA
Bunomys fratrorum,NA
Xeromys myoides,5000-50000
Mallomys gunung,NA
Maxomys whiteheadi,NA
Maxomys rajah,NA
Zyzomys pedunculatus,800
Zyzomys maini,20000
Zyzomys palatalis,1000
Diplothrix legata,NA
Echiothrix leucura,NA
Aetobatus ocellatus,NA
Brookesia desperata,NA
Rhampholeon viridis,NA
Conus cacao,NA
Ansonia thinthinae,NA
Atelopus patazensis,NA
Dermochelys coriacea,NA
Trichechus inunguis,8000-30000
Tayassu pecari,NA
Sus verrucosus,NA
Sus cebifrons,NA
Sus philippensis,NA
Sus oliveri,NA
Babyrousa celebensis,9999
Babyrousa togeanensis,1000
Cephalorhynchus hectori,7381-7381
Melanophryniscus admirabilis,NA
Equus africanus,23-200
Tapirus bairdii,NA
Tapirus indicus,2499
Tapirus pinchaque,2500
Lepus hainanus,NA
Pentalagus furnessi,NA
Sylvilagus dicei,NA
Ochotona hoffmanni,NA
Ochotona argentata,NA
Chrotogale owstoni,NA
Cryptoprocta ferox,2635-8626
Cynogale bennettii,2490
Diplogale hosei,9500
Fossa fossana,NA
Galidictis fasciata,NA
Galidictis grandidieri,NA
Genetta cristata,7000
Liberiictis kuhni,5200
Macrogalidia musschenbroekii,9000
Melogale everetti,NA
Mungotictis decemlineata,NA
Mustela lutreola,NA
Mustela nigripes,206
Mustela felipei,1350
Procyon pygmaeus,192
Salanoia concolor,NA
Viverra civettina,249
Vormela peregusna,NA
Eupleres major,NA
Eupleres goudotii,NA
Arctonyx collaris,NA
Spilogale putorius,NA
Spilogale pygmaea,NA
Arctictis binturong,NA
Viverra megaspila,NA
Poiana leightoni,6700-10000
Genetta bourloni,9850
Bdeogale omnivora,7000-9400
Arctocephalus galapagoensis,10000
Callorhinus ursinus,650000
Cystophora cristata,340000
Neomonachus schauinslandi,632
Neophoca cinerea,6500
Odobenus rosmarus,112500
Zalophus wollebaeki,9200-10600
Pusa caspica,68000
Telmatobius mendelsoni,NA
Myosorex bururiensis,NA
Myosorex gnoskei,NA
Rattus nikenii,NA
Oxymycterus wayku,NA
Melanophryniscus peritus,NA
Cedrus libani,NA
Microcebus marohita,NA
Bos javanicus,4000-8000
Bos sauveli,0-50
Bos gaurus,6000-21000
Bubalus depressicornis,2499
Bubalus quarlesi,0-2500
Hippocampus whitei,NA
Anchoa choerostoma,NA
Halichoeres socialis,NA
Tylototriton notialis,NA
Rhacophorus helenae,NA
Tylototriton ziegleri,NA
Leptobrachium rakhinensis,NA
Feihyla samkosensis,NA
Laotriton laoensis,NA
Bradypus torquatus,NA
Myrmecophaga tridactyla,NA
Priodontes maximus,NA
Tolypeutes tricinctus,NA
Bradypus pygmaeus,NA
Brookesia minima,NA
Brookesia tristis,NA
Trioceros laterispinis,NA
Rhampholeon marshalli,NA
Rhampholeon spinosus,NA
Capensibufo rosei,NA
Lophuromys pseudosikapusi,NA
Acharagma aguirreanum,NA
Hyperolius inyangae,NA
Ololygon muriciensis,NA
Ololygon skuki,NA
Theloderma bambusicolum,NA
Theloderma nebulosum,NA
Theloderma palliatum,NA
Rhacophorus spelaeus,NA
Rhacophorus marmoridorsum,NA
Gracixalus quangi,NA
Odorrana yentuensis,NA
Megophrys damrei,NA
Limnonectes isanensis,NA
Omobranchus mekranensis,NA
Emblemariopsis pricei,NA
Omobranchus smithi,NA
Meiacanthus naevius,NA
Parablennius serratolineatus,NA
Entomacrodus chapmani,NA
Medusablennius chani,NA
Ecsenius tigris,NA
Oman ypsilon,NA
Omobranchus aurosplendidus,NA
Dactyloscopus insulatus,NA
Entomacrodus solus,NA
Omobranchus hikkaduwensis,NA
Praealticus natalis,NA
Ecsenius randalli,NA
Ecsenius tricolor,NA
Parablennius lodosus,NA
Salaria atlantica,NA
Mimoblennius lineathorax,NA
Mantella viridis,NA
Leucoraja fullonica,NA
Leucoraja circularis,NA
Raja maderensis,NA
Leucoraja melitensis,NA
Hyperolius ademetzi,NA
Hyperolius bopeleti,NA
Boophis andrangoloaka,NA
Boophis arcanus,NA
Neurergus kaiseri,NA
Boophis fayi,NA
Boophis haingana,NA
Atelopus arsyecue,NA
Atelopus carrikeri,NA
Atelopus chocoensis,0-49
Atelopus ebenoides,0-49
Atelopus famelicus,NA
Atelopus farci,0-49
Atelopus longibrachius,NA
Atelopus lozanoi,NA
Atelopus nicefori,0-49
Atelopus petriruizi,0-49
Atelopus quimbaya,0-49
Atelopus simulatus,0-50
Atelopus sonsonensis,0-49
Atelopus subornatus,0-49
Atelopus mittermeieri,NA
Boophis miadana,NA
Boophis narinsi,NA
Boophis piperatus,NA
Boophis popi,NA
Boophis sandrae,NA
Boophis spinophis,NA
Boophis tsilomaro,NA
Boophis ulftunni,NA
Gephyromantis atsingy,NA
Gephyromantis azzurrae,NA
Gephyromantis hintelmannae,NA
Gephyromantis mafy,NA
Gephyromantis ranjomavo,NA
Gephyromantis runewsweeki,NA
Guibemantis annulatus,NA
Guibemantis wattersoni,NA
Mantidactylus paidroa,NA
Cophyla rava,NA
Plethodontohyla fonetana,NA
Plethodontohyla guentheri,NA
Rhombophryne mangabensis,NA
Spinomantis nussbaumi,NA
Stumpffia hara,NA
Addax nasomaculatus,30-90
Ammodorcas clarkei,2800
Cephalophus adersi,14000
Cephalophus jentinki,2000
Cephalophus spadix,1500
Cephalophus zebra,9500
Beatragus hunteri,200-250
Dorcatragus megalotis,7000
Gazella cuvieri,2360-4560
Nanger dama,100-200
Gazella dorcas,NA
Gazella gazella,2500
Gazella leptoceros,300-600
Eudorcas rufifrons,NA
Gazella spekei,NA
Gazella subgutturosa,42000-49000
Gazella marica,1750-2150
Eudorcas tilonura,1750-2450
Kobus megaceros,NA
Oryx dammah,NA
Oryx leucoryx,850
Procapra przewalskii,NA
Redunca fulvorufula,NA
Tetracerus quadricornis,7000-10000
Tragelaphus derbianus,8400-9800
Nanger soemmerringii,4000-5000
Lipotes vexillifer,NA
Phocoena sinus,18
Eubalaena japonica,NA
Neophocaena asiaeorientalis,NA
Neophocaena phocaenoides,NA
Acinonyx jubatus,6674
Felis bieti,9999
Leopardus tigrinus,8932-10208
Leopardus guigna,5980-92092
Leopardus jacobita,1378
Panthera tigris,2154-3159
Prionailurus planiceps,2499
Prionailurus viverrinus,NA
Caracal aurata,NA
Panthera uncia,2710-3386
Bubalus mindorensis,220-300
Leptobrachium xanthops,NA
Okapia johnstoni,NA
Alnus djavanshirii,30
Alnus dolichocarpa,49
Ostryopsis intermedia,3000-6000
Betula gynoterminalis,NA
Betula murrayana,0-25
Marmosops pakaraimae,NA
Ambystoma amblycephalum,NA
Chiropterotriton arboreus,NA
Chiropterotriton lavae,NA
Ixalotriton parvus,NA
Pseudoeurycea aquatica,NA
Pseudoeurycea cochranae,NA
Pseudoeurycea conanti,NA
Pseudoeurycea firscheini,NA
Pseudoeurycea gadovii,NA
Aquiloeurycea galeanae,NA
Pseudoeurycea longicauda,NA
Pseudoeurycea lynchi,NA
Pseudoeurycea melanomolga,NA
Pseudoeurycea robertsi,NA
Pseudoeurycea ruficauda,NA
Pseudoeurycea saltator,NA
Pseudoeurycea werleri,NA
Thorius minydemus,NA
Thorius narismagnus,NA
Thorius troglodytes,NA
Isthmura boneti,NA
Isthmura maxima,NA
Pseudoeurycea mixteca,NA
Pseudoeurycea obesa,NA
Aquiloeurycea quetzalanensis,NA
Pseudoeurycea tlilicxitl,NA
Leopardus guttulus,6047
Archaius tigris,NA
Quasipaa acanthophora,NA
Hippocampus capensis,NA
Hippocampus histrix,NA
Hippocampus ingens,NA
Hippocampus spinosissimus,NA
Hippocampus barbouri,NA
Hippocampus mohnikei,NA
Hippocampus algiricus,NA
Hippocampus kelloggi,NA
Hippocampus patagonicus,NA
Nanohyla annamensis,NA
Hylarana montivaga,NA
Atelopus lynchi,0-49
Atelopus ardila,0-49
Atelopus gigas,0-49
Atelopus orcesi,0-49
Atelopus pastuso,1-50
Potamotrygon tigrina,NA
Platymantis insulatus,NA
Platymantis hazelae,NA
Platymantis panayensis,NA
Pelophryne albotaeniata,NA
Kaloula walteri,NA
Platymantis lawtoni,NA
Platymantis montanus,NA
Platymantis taylori,NA
Sanguirana tipanan,NA
Platymantis diesmosi,NA
Seychellum alluaudi,NA
Evynnis cardinalis,NA
Agathis montana,100000
Nymphargus truebae,1-49
Andinobates dorisswansonae,NA
Andinobates tolimensis,NA
Pseudophilautus papillosus,NA
Pseudophilautus procax,NA
Mantella cowanii,NA
Cycas curranii,NA
Camellia fangchengensis,NA
Cervus albirostris,NA
Moschus chrysogaster,NA
Moschus fuscus,NA
Moschus moschiferus,NA
Moschus leucogaster,NA
Tragulus nigricans,NA
Moschus anhuiensis,NA
Moschus cupreus,NA
Camellia ptilophylla,NA
Camellia amplexifolia,NA
Camellia candida,NA
Camellia chrysanthoides,20-100
Camellia cupiformis,NA
Camellia dilinhensis,NA
Camellia elongata,NA
Camellia fascicularis,NA
Camellia flavida,NA
Camellia formosensis,NA
Camellia gaudichaudii,NA
Camellia granthamiana,3000
Camellia hekouensis,NA
Camellia hongkongensis,NA
Camellia huana,50-249
Camellia ilicifolia,1-3000
Camellia impressinervis,45
Camellia longii,NA
Camellia longipedicellata,NA
Camellia longzhouensis,NA
Camellia luteoflora,1000-2000
Camellia micrantha,NA
Camellia mileensis,NA
Camellia parviflora,NA
Camellia paucipunctata,NA
Camellia pingguoensis,170
Camellia pubifurfuracea,NA
Camellia punctata,NA
Camellia pyxidiacea,NA
Camellia renshanxiangiae,NA
Camellia stuartiana,NA
Camellia szechuanensis,NA
Camellia szemaoensis,NA
Camellia tenii,NA
Camellia transarisanensis,999
Camellia trichoclada,NA
Camellia xanthochroma,NA
Franklinia alatamaha,NA
Gordonia penangensis,NA
Gordonia singaporeana,NA
Polyspora ceylanica,50-250
Polyspora dassanayakei,10-49
Polyspora elliptica,249
Polyspora gardneri,50-100
Polyspora huongiana,NA
Pyrenaria kwangsiensis,0-1000
Pyrenaria maculatoclada,0-500
Pyrenaria menglaensis,NA
Pyrenaria oblongicarpa,0-500
Brookesia peyrierasi,NA
Geocharax falcata,NA
Hyperolius constellatus,NA
Raorchestes gryllus,NA
Rhinolophus cohenae,900-1000
Thunnus orientalis,NA
Leiopelma hamiltoni,300-800
Leiopelma archeyi,5000-20000
Leiopelma pakeka,20500-35500
Boophis englaenderi,NA
Boophis solomaso,NA
Neoromicia roseveari,NA
Guibemantis punctatus,NA
Gephyromantis zavona,NA
Gephyromantis eiselti,NA
Gephyromantis thelenae,NA
Stumpffia psologlossa,NA
Magnolia bankardiorum,NA
Magnolia canandeana,NA
Magnolia cochranei,NA
Magnolia costaricensis,NA
Magnolia arroyoana,4-6
Magnolia decastroi,NA
Magnolia faustinomirandae,NA
Magnolia gentryi,200
Magnolia guanacastensis,NA
Magnolia inbioana,NA
Magnolia jaenensis,NA
Magnolia jaliscana,NA
Magnolia kichuana,NA
Magnolia lacandonica,50-250
Magnolia madidiensis,NA
Magnolia manguillo,NA
Magnolia mayae,12
Magnolia multinervia,NA
Magnolia oaxacensis,NA
Magnolia ofeliae,NA
Magnolia palandana,NA
Magnolia pastazaensis,NA
Magnolia pedrazae,NA
Magnolia perezfarrerae,NA
Magnolia quetzal,NA
Magnolia shuarorum,1000
Magnolia talamancana,NA
Magnolia vallartensis,NA
Magnolia vovidesii,NA
Magnolia wendtii,NA
Magnolia wetteri,NA
Magnolia yantzazana,NA
Magnolia juninensis,NA
Magnolia jardinensis,49
Microphis insularis,NA
Syngnathus watermeyeri,100-250
Microphis pleurostictus,NA
Araucaria muelleri,NA
Nothofagus discoidea,NA
Nothofagus baumanniae,NA
Stumpffia miery,NA
Boophis andohahela,NA
Boophis schuboeae,NA
Gephyromantis enki,NA
Boophis anjanaharibeensis,NA
Boophis ankarafensis,NA
Aetomylaeus nichofii,NA
Aetomylaeus vespertilio,NA
Aptychotrema timorensis,NA
Brachaelurus colcloughi,9999
Carcharhinus albimarginatus,NA
Eusphyra blochii,NA
Hemipristis elongata,NA
Himantura leoparda,NA
Himantura uarnak,NA
Squatina albipunctata,NA
Taeniurops meyeni,NA
Urogymnus asperrimus,NA
Dipturus maugeana,NA
Magnolia bidoupensis,NA
Camellia oconoriana,10
Magnolia cattienensis,50-250
Hyperolius ukwiva,NA
Hyperolius spinigularis,NA
Hyperolius davenporti,NA
Hyperolius burgessi,NA
Hyperolius ruvuensis,NA
Magnolia sinostellata,1100-1300
Magnolia sanchez-vegae,NA
Camellia inusitata,100
Camellia duyana,3
Camellia ligustrina,NA
Camellia bugiamapensis,49
Camellia dalatensis,NA
Camellia nitidissima,2499
Dipturus confusus,NA
Hemiscyllium hallstromi,NA
Nasuella meridensis,NA
Cuon alpinus,949-2215
Catagonus wagneri,NA
Axis kuhlii,200-500
Gracixalus lumarius,NA
Kalophrynus cryptophonus,NA
Kalophrynus honbaensis,NA
Leptobrachella botsfordi,NA
Nanohyla arboricola,NA
Microhyla pineticola,NA
Nanohyla pulchella,NA
Tylototriton shanorum,NA
Leptopelis anebos,NA
Pristimantis mutabilis,NA
Rhampholeon hattinghi,NA
Kinyongia mulyai,NA
Cacosternum thorini,NA
Alsodes cantillanensis,NA
Telmatobufo ignotus,NA
Myotis nyctor,NA
Oreolalax sterlingae,NA
Anhydrophryne ngongoniensis,2495-3350
Microbatrachella capensis,NA
Sclerophrys pantherina,NA
Natalobatrachus bonebergi,NA
Afrixalus knysnae,NA
Arthroleptella subvoce,NA
Arthroleptella rugosa,1000
Vandijkophrynus amatolicus,NA
Leptopelis xenodactylus,NA
Heleophryne hewitti,NA
Xenopus gilli,NA
Heleophryne rosei,NA
Arthroleptis francei,NA
Arthroleptis troglodytes,NA
Hyperolius pickersgilli,NA
Allobates amissibilis,NA
Andinobates opisthomelas,NA
Ctenomys australis,NA
Octodon pacificus,NA
Tympanoctomys aureus,NA
Tympanoctomys loschalchalerosorum,NA
Rulyrana saxiscandens,NA
Rhombophryne serratopalpebrosa,NA
Euastacus clarkae,NA
Alsodes barrioi,NA
Alsodes montanus,NA
Rhinella atacamensis,NA
Insuetophrynus acarpicus,NA
Rhinoderma darwinii,NA
Rhinoderma rufum,0
Telmatobius pefauri,0
Telmatobius zapahuirensis,NA
Telmatobufo bullocki,NA
Telmatobufo venustus,NA
Alsodes tumultuosus,NA
Alsodes valdiviensis,NA
Telmatobius philippii,NA
Alsodes norae,NA
Limulus polyphemus,NA
Sousa plumbea,NA
Sousa sahulensis,10000
Magnolia dixonii,NA
Magnolia rzedowskiana,NA
Picea omorika,NA
Aglyptodactylus laticeps,NA
Boophis andreonei,NA
Boophis blommersae,NA
Boophis feonnyala,NA
Boophis haematopus,NA
Boophis jaegeri,NA
Boophis laurenti,NA
Boophis liami,NA
Boophis majori,NA
Boophis miniatus,NA
Boophis vittatus,NA
Boophis williamsi,NA
Mantella bernhardi,NA
Mantella crocea,NA
Mantella expectata,NA
Mantella haraldmeieri,NA
Mantella madagascariensis,NA
Mantella manery,NA
Mantella milotympanum,NA
Mantidactylus albofrenatus,NA
Gephyromantis ambohitra,NA
Spinomantis brunae,NA
Gephyromantis cornutus,NA
Gephyromantis corvus,NA
Spinomantis guibei,NA
Gephyromantis horridus,NA
Guibemantis kathrinae,NA
Gephyromantis klemmeri,NA
Mantidactylus madecassus,NA
Spinomantis massi,NA
Spinomantis microtis,NA
Boehmantis microtympanum,NA
Mantidactylus pauliani,NA
Gephyromantis rivicola,NA
Gephyromantis salegy,NA
Gephyromantis schilfi,NA
