scientificName,PopulationSize.range
Edoneus atheatus,NA
Caridina caverna,NA
Caridina valencia,NA
Caridina minidentata,NA
Caridina batuan,NA
Edoneus erwini,NA
Marosina longirostris,NA
Caridina acuta,NA
Parisia macrophora,NA
Caridina demenica,NA
Caridina cavernicola,NA
Caridina mengae,NA
Alpheus cyanoteles,NA
Caridina linduensis,NA
Caridina tumida,NA
Potamalpheops haugi,NA
Polyplectron schleiermacheri,600-1700
Emberiza rustica,6000000-8999999
Chlamydotis undulata,13000-33000
Pyrrhula murina,627-1996
Apteryx haastii,14500
Crypturellus kerriae,2500-9999
Penelope perspicax,250-999
Penelope pileata,6700
Penelope ochrogaster,600-1700
Penelope jacucaca,2500-9999
Pauxi pauxi,1000-2499
Crax alector,U
Crax globulosa,250-999
Crax blumenbachii,130-170
Aepypodius bruijnii,980
Macrocephalon maleo,8000-14000
Megapodius nicobariensis,750-1500
Megapodius bernsteinii,10000-19999
Megapodius layardi,2500-9999
Megapodius laperouse,1300-1700
Eulipoa wallacei,NA
Leipoa ocellata,100000
Francolinus gularis,10000-19999
Pternistis camerunensis,600-1700
Pternistis swierstrai,1000-2499
Xenoperdix udzungwensis,2000-2700
Melanoperdix niger,10000-19999
Arborophila mandellii,2500-9999
Arborophila rufipectus,1000-2499
Arborophila ardens,2600-3500
Lophophorus sclateri,2500-9999
Lophophorus lhuysii,2500-9999
Lophura bulweri,2500-9999
Crossoptilon mantchuricum,3300-11000
Polyplectron inopinatum,2500-9999
Polyplectron malacense,1500-7000
Afropavo congensis,2500-9999
Agelastes meleagrides,50000-99999
Odontophorus atrifrons,1500-7000
Odontophorus melanonotus,6700-13000
Odontophorus dialeucos,6000-15000
Anser cygnoid,NA
Cyanochen cyanoptera,3000-7000
Hymenolaimus malacorhynchos,1200
Salvadorina waigiuensis,2500-9999
Anas luzonica,3300-6700
Anas melleri,1300-3300
Anas bernieri,1000-1700
Anas aucklandica,600-2000
Anas eatoni,31200-41400
Turnix olivii,500
Picumnus spilogaster,U
Picumnus steindachneri,6000-15000
Picumnus varzeae,U
Colaptes fernandinae,400-530
Mulleripicus pulverulentus,NA
