assessmentId,internalTaxonId,scientificName,code,name,international,national,other,subsistence
93170160,22687804,Pterophanes cyanopterus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93170348,22687807,Coeligena coeligena,13,"Pets/display animals, horticulture",true,NA,NA,NA
93170539,22687810,Coeligena wilsoni,13,"Pets/display animals, horticulture",true,NA,NA,NA
93171419,22687834,Coeligena helianthea,13,"Pets/display animals, horticulture",true,NA,NA,NA
93171600,22687837,Coeligena lutetiae,13,"Pets/display animals, horticulture",true,NA,NA,NA
93171776,22687847,Coeligena iris,13,"Pets/display animals, horticulture",true,NA,NA,NA
93171973,22687854,Ensifera ensifera,13,"Pets/display animals, horticulture",true,NA,NA,NA
93172170,22687857,Sephanoides sephaniodes,13,"Pets/display animals, horticulture",true,NA,NA,NA
93172791,22687868,Boissonneaua flavescens,13,"Pets/display animals, horticulture",true,NA,NA,NA
93172980,22687871,Boissonneaua matthewsii,13,"Pets/display animals, horticulture",true,NA,NA,NA
93173511,22687890,Heliangelus strophianus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93173861,22687898,Heliangelus viola,13,"Pets/display animals, horticulture",true,NA,NA,NA
93174907,22687914,Eriocnemis vestita,13,"Pets/display animals, horticulture",true,NA,NA,NA
93175785,22687936,Eriocnemis glaucopoides,13,"Pets/display animals, horticulture",true,NA,NA,NA
93177112,22687965,Urosticte ruficrissa,13,"Pets/display animals, horticulture",true,NA,NA,NA
93177284,22687968,Ocreatus underwoodii,13,"Pets/display animals, horticulture",true,NA,NA,NA
93177475,22687971,Lesbia victoriae,13,"Pets/display animals, horticulture",true,NA,NA,NA
93177674,22687974,Lesbia nuna,13,"Pets/display animals, horticulture",true,NA,NA,NA
93177874,22687977,Sappho sparganurus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93178060,22687980,Polyonymus caroli,13,"Pets/display animals, horticulture",true,NA,NA,NA
93178231,22687984,Ramphomicron microrhynchum,13,"Pets/display animals, horticulture",true,NA,NA,NA
93179183,22687998,Metallura odomae,13,"Pets/display animals, horticulture",true,NA,NA,NA
93179402,22688002,Metallura theresiae,13,"Pets/display animals, horticulture",true,NA,NA,NA
93179574,22688005,Metallura eupogon,13,"Pets/display animals, horticulture",true,NA,NA,NA
93179746,22688009,Metallura aeneocauda,13,"Pets/display animals, horticulture",true,NA,NA,NA
93179925,22688012,Metallura phoebe,13,"Pets/display animals, horticulture",true,NA,NA,NA
93180096,22688015,Metallura tyrianthina,13,"Pets/display animals, horticulture",true,NA,NA,NA
93180595,22688024,Chalcostigma ruficeps,13,"Pets/display animals, horticulture",true,NA,NA,NA
93180787,22688027,Chalcostigma olivaceum,13,"Pets/display animals, horticulture",true,NA,NA,NA
93180965,22688030,Chalcostigma stanleyi,13,"Pets/display animals, horticulture",true,NA,NA,NA
93181146,22688033,Chalcostigma heteropogon,13,"Pets/display animals, horticulture",true,NA,NA,NA
93181325,22688036,Chalcostigma herrani,13,"Pets/display animals, horticulture",true,NA,NA,NA
93181951,22688059,Aglaiocercus coelestis,13,"Pets/display animals, horticulture",true,NA,NA,NA
93182732,22688111,Heliothryx auritus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93182952,22688119,Heliactin bilophus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93183449,22688135,Heliomaster constantii,13,"Pets/display animals, horticulture",true,NA,NA,NA
93183968,22688141,Heliomaster squamosus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93184359,22688147,Rhodopis vesper,13,"Pets/display animals, horticulture",true,NA,NA,NA
93184547,22688150,Thaumastura cora,13,"Pets/display animals, horticulture",true,NA,NA,NA
93186255,22688193,Archilochus colubris,13,"Pets/display animals, horticulture",true,NA,NA,NA
93186569,22688196,Archilochus alexandri,13,"Pets/display animals, horticulture",true,NA,NA,NA
93186783,22688199,Calypte anna,13,"Pets/display animals, horticulture",true,NA,NA,NA
93187017,22688202,Calypte costae,13,"Pets/display animals, horticulture",true,NA,NA,NA
93187412,22688211,Calliphlox amethystina,13,"Pets/display animals, horticulture",true,NA,NA,NA
93187970,22688229,Mellisuga minima,13,"Pets/display animals, horticulture",true,NA,NA,NA
93188712,22688241,Myrtis fanny,13,"Pets/display animals, horticulture",true,NA,NA,NA
93189389,22688251,Chaetocercus mulsant,13,"Pets/display animals, horticulture",true,NA,NA,NA
93190741,22688293,Selasphorus platycercus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93192041,22688312,Tauraco persa,13,"Pets/display animals, horticulture",true,NA,NA,NA
93192338,22688316,Tauraco schuettii,13,"Pets/display animals, horticulture",true,NA,NA,NA
93192562,22688323,Tauraco schalowi,13,"Pets/display animals, horticulture",true,NA,NA,NA
93193784,22688346,Tauraco erythrolophus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93194716,22688365,Tauraco hartlaubi,13,"Pets/display animals, horticulture",NA,true,NA,true
93194906,22688369,Tauraco leucolophus,13,"Pets/display animals, horticulture",true,NA,NA,NA
93195141,22688373,Gallirex johnstoni,13,"Pets/display animals, horticulture",true,NA,NA,NA
93195329,22688380,Gallirex porphyreolophus,13,"Pets/display animals, horticulture",NA,true,NA,true
93195573,22688387,Musophaga violacea,13,"Pets/display animals, horticulture",true,NA,NA,NA
93195844,22688391,Musophaga rossae,13,"Pets/display animals, horticulture",true,NA,NA,NA
93196103,22688396,Corythaixoides concolor,1,Food - human,NA,true,NA,true
93196103,22688396,Corythaixoides concolor,13,"Pets/display animals, horticulture",true,NA,NA,NA
93196353,22688410,Criniferoides leucogaster,13,"Pets/display animals, horticulture",true,NA,NA,NA
93196560,22688415,Crinifer piscator,13,"Pets/display animals, horticulture",true,NA,NA,NA
93197365,22688429,Tyto tenebricosa,13,"Pets/display animals, horticulture",true,NA,NA,NA
93197565,22688435,Tyto multipunctata,13,"Pets/display animals, horticulture",true,NA,NA,NA
