scientificName,redlistCategory,actions,other_threats,smallpop
Siphonorhis americana,Critically Endangered,NA,NA,yes
Antrostomus noctitherus,Endangered,NA,yes,NA
Caprimulgus prigoginei,Endangered,NA,NA,NA
Columba torringtoniae,Vulnerable,NA,NA,yes
Patagioenas caribaea,Vulnerable,NA,NA,NA
Patagioenas oenops,Vulnerable,NA,NA,yes
Patagioenas subvinacea,Vulnerable,NA,NA,NA
Geophaps smithii,Vulnerable,NA,NA,NA
Zenaida graysoni,Extinct in the Wild,yes,NA,NA
Leptotila battyi,Vulnerable,NA,NA,NA
Leptotila ochraceiventris,Vulnerable,NA,NA,yes
Zentrygon carrikeri,Endangered,yes,NA,NA
Starnoenas cyanocephala,Endangered,NA,yes,yes
Gallicolumba crinigera,Vulnerable,NA,NA,yes
Gallicolumba menagei,Critically Endangered,NA,NA,yes
Alopecoenas kubaryi,Vulnerable,NA,NA,yes
Alopecoenas stairi,Vulnerable,NA,NA,yes
Alopecoenas hoedtii,Endangered,NA,NA,NA
Phapitreron cinereiceps,Endangered,NA,NA,yes
Treron floris,Vulnerable,NA,NA,yes
Treron psittaceus,Endangered,NA,NA,NA
Treron capellei,Vulnerable,NA,NA,NA
Treron pembaensis,Vulnerable,NA,NA,NA
Ptilinopus dohertyi,Vulnerable,NA,NA,NA
Ramphiculus marchei,Vulnerable,NA,yes,yes
Ptilinopus roseicapilla,Endangered,yes,NA,NA
Ptilinopus rarotongensis,Vulnerable,yes,NA,NA
Ptilinopus chalcurus,Vulnerable,yes,NA,NA
Ptilinopus insularis,Vulnerable,NA,yes,NA
Ptilinopus granulifrons,Vulnerable,NA,NA,NA
Ptilinopus arcanus,Critically Endangered,NA,NA,yes
Ducula mindorensis,Endangered,NA,NA,NA
Ducula galeata,Endangered,yes,NA,yes
Ducula pickeringii,Vulnerable,NA,NA,NA
Ducula brenchleyi,Vulnerable,NA,NA,yes
Ducula bakeri,Vulnerable,NA,NA,yes
Afrotis afra,Vulnerable,NA,yes,NA
Balearica pavonina,Vulnerable,yes,NA,NA
Balearica regulorum,Endangered,yes,yes,NA
Antigone antigone,Vulnerable,yes,yes,NA
Grus monacha,Vulnerable,NA,yes,NA
Grus japonensis,Endangered,yes,yes,NA
Heliopais personatus,Endangered,NA,yes,yes
Sarothrura watersi,Endangered,NA,NA,yes
Coturnicops exquisitus,Vulnerable,NA,NA,NA
Laterallus tuerosi,Endangered,NA,yes,NA
Laterallus spilonota,Vulnerable,NA,yes,NA
Laterallus xenopterus,Vulnerable,NA,NA,yes
Gallirallus lafresnayanus,Critically Endangered,NA,NA,yes
Hypotaenidia sylvestris,Endangered,yes,NA,yes
Hypotaenidia okinawae,Endangered,yes,NA,NA
Rallus wetmorei,Endangered,NA,NA,yes
Rallus semiplumbeus,Endangered,NA,NA,yes
Rallus antarcticus,Vulnerable,NA,NA,yes
Rallus madagascariensis,Vulnerable,NA,NA,yes
Lewinia muelleri,Vulnerable,yes,NA,NA
Aramidopsis plateni,Vulnerable,NA,NA,yes
Atlantisia rogersi,Vulnerable,NA,NA,NA
Aramides wolfi,Vulnerable,NA,NA,NA
Zapornia olivieri,Endangered,NA,yes,yes
Porzana spiloptera,Vulnerable,NA,NA,yes
Zapornia atra,Vulnerable,NA,NA,NA
Habroptila wallacii,Vulnerable,NA,NA,yes
Porphyrio hochstetteri,Endangered,yes,yes,yes
Gallinula comeri,Vulnerable,NA,NA,NA
Fulica alai,Vulnerable,yes,NA,NA
Monias benschi,Vulnerable,NA,NA,NA
Scolopax mira,Vulnerable,NA,yes,NA
Gallinago macrodactyla,Vulnerable,NA,NA,NA
Coenocorypha pusilla,Vulnerable,yes,yes,NA
Tringa guttifer,Endangered,NA,yes,yes
Charadrius thoracicus,Vulnerable,yes,yes,yes
Charadrius sanctaehelenae,Vulnerable,NA,yes,yes
Thinornis cucullatus,Vulnerable,NA,yes,NA
Thinornis novaeseelandiae,Endangered,yes,yes,yes
Glareola ocularis,Vulnerable,NA,yes,NA
Larus bulleri,Endangered,NA,yes,NA
Chlidonias albostriatus,Endangered,NA,yes,NA
Haliaeetus sanfordi,Vulnerable,NA,NA,yes
Haliaeetus pelagicus,Vulnerable,yes,NA,NA
Eutriorchis astur,Endangered,NA,yes,NA
Circus macrosceles,Endangered,NA,yes,yes
Accipiter butleri,Vulnerable,NA,NA,NA
Accipiter imitator,Vulnerable,NA,yes,yes
Accipiter princeps,Vulnerable,NA,NA,NA
Cryptoleucopteryx plumbea,Vulnerable,NA,NA,NA
Buteogallus lacernulatus,Vulnerable,NA,NA,yes
Pseudastur occidentalis,Endangered,NA,NA,yes
Buteogallus coronatus,Endangered,NA,NA,yes
Buteo galapagoensis,Vulnerable,NA,NA,yes
Buteo ventralis,Vulnerable,NA,NA,yes
Harpyopsis novaeguineae,Vulnerable,NA,NA,NA
Spizaetus isidori,Endangered,NA,NA,yes
Sagittarius serpentarius,Vulnerable,NA,yes,NA
Micrastur plumbeus,Vulnerable,NA,NA,NA
Falco punctatus,Endangered,yes,NA,yes
Falco araeus,Vulnerable,NA,yes,yes
Falco hypoleucos,Vulnerable,NA,yes,yes
Falco fasciinucha,Vulnerable,NA,yes,yes
Rollandia microptera,Endangered,NA,yes,NA
Egretta vinaceigula,Vulnerable,NA,yes,NA
Egretta eulophotes,Vulnerable,NA,yes,yes
Ardea humbloti,Endangered,NA,yes,NA
Ardeola idae,Endangered,NA,yes,NA
Agamia agami,Vulnerable,NA,NA,NA
Gorsachius goisagi,Endangered,NA,NA,yes
Botaurus poiciloptilus,Endangered,yes,yes,NA
Phoenicoparrus andinus,Vulnerable,NA,yes,NA
Geronticus calvus,Vulnerable,yes,yes,NA
Mycteria cinerea,Endangered,yes,yes,NA
Leptoptilos dubius,Endangered,yes,yes,NA
Hydrornis schneideri,Vulnerable,NA,NA,yes
Pitta superba,Endangered,NA,yes,yes
Pitta steerii,Vulnerable,NA,NA,yes
