assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
11166503,54554,Atelopus sorianoi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,sorianoi,NA,NA,NA,"La Marca, 1983",Critically Endangered,"A2ace; B2ab(iii,v)",3.1,Decreasing,Global
11166846,54555,Atelopus spumarius,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,spumarius,NA,NA,NA,"Cope, 1871",Vulnerable,A3ce,3.1,Decreasing,Global
11167366,54558,Atelopus tamaense,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,tamaense,NA,NA,NA,"La Marca, GarcÃ­a-PÃ¨rez &amp; Renjifo, 1990",Critically Endangered,A3ce,3.1,Decreasing,Global
11167883,54560,Atelopus varius,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,varius,NA,NA,NA,"(Lichtenstein &amp; Martens, 1856)",Critically Endangered,A2ace,3.1,Decreasing,Global
11168237,54568,Rhinella amabilis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Rhinella,amabilis,NA,NA,NA,"(Pramuk and Kadivar, 2003)",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
11171206,54604,Peltophryne cataulaciceps,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Peltophryne,cataulaciceps,NA,NA,NA,"(Schwartz, 1959)",Endangered,B1ab(iii),3.1,Decreasing,Global
11173459,54683,Duttaphrynus kotagamai,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Duttaphrynus,kotagamai,NA,NA,NA,"(Fernando &amp; Dayawansa, 1994)",Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
11173845,54684,Xanthophryne koynayensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Xanthophryne,koynayensis,NA,NA,NA,"(Soman, 1963)",Endangered,B1ab(iii),3.1,Decreasing,Global
11175118,54617,Incilius cristatus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Incilius,cristatus,NA,NA,NA,"(Wiegmann, 1833)",Critically Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
11176718,54693,Peltophryne longinasus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Peltophryne,longinasus,NA,NA,NA,"(Stejneger, 1905)",Endangered,B2ab(iii),3.1,Decreasing,Global
