thr_lev2,thr_lev2name,stressName,target
8.2,Problematic native species/diseases,Species mortality,Target 3
8.2,Problematic native species/diseases,Ecosystem stresses,Target 1 & 2
8.2,Problematic native species/diseases,Ecosystem stresses,Target 3
8.4,Problematic species/diseases of unknown origin,Indirect species effects,Target 3
8.4,Problematic species/diseases of unknown origin,Species disturbance,Target 3
8.4,Problematic species/diseases of unknown origin,Species mortality,Target 3
8.4,Problematic species/diseases of unknown origin,Ecosystem stresses,Target 1 & 2
8.4,Problematic species/diseases of unknown origin,Ecosystem stresses,Target 3
6.1,Recreational activities,Ecosystem stresses,Target 1 & 2
6.1,Recreational activities,Indirect species effects,Target 1 & 2
6.1,Recreational activities,Indirect species effects,Target 3
6.1,Recreational activities,Species disturbance,Target 1 & 2
6.1,Recreational activities,Species disturbance,Target 3
6.1,Recreational activities,Species mortality,Target 1 & 2
6.1,Recreational activities,Species mortality,Target 3
3.3,Renewable energy,Ecosystem stresses,Target 1 & 2
3.3,Renewable energy,Indirect species effects,Target 1 & 2
3.3,Renewable energy,Indirect species effects,Target 3
3.3,Renewable energy,Species disturbance,Target 1 & 2
3.3,Renewable energy,Species disturbance,Target 3
3.3,Renewable energy,Species mortality,Target 1 & 2
3.3,Renewable energy,Species mortality,Target 3
4.1,Roads & railroads,Ecosystem stresses,Target 1 & 2
4.1,Roads & railroads,Indirect species effects,Target 1 & 2
4.1,Roads & railroads,Indirect species effects,Target 3
4.1,Roads & railroads,Species disturbance,Target 1 & 2
4.1,Roads & railroads,Species disturbance,Target 3
4.1,Roads & railroads,Species mortality,Target 1 & 2
4.1,Roads & railroads,Species mortality,Target 3
4.3,Shipping lanes,Ecosystem stresses,Target 1 & 2
4.3,Shipping lanes,Indirect species effects,Target 1 & 2
4.3,Shipping lanes,Species disturbance,Target 1 & 2
4.3,Shipping lanes,Species mortality,Target 1 & 2
11.4,Storms & flooding,Ecosystem stresses,Target 7
11.4,Storms & flooding,Indirect species effects,Target 7
11.4,Storms & flooding,Species disturbance,Target 7
11.4,Storms & flooding,Species mortality,Target 7
11.3,Temperature extremes,Ecosystem stresses,Target 7
11.3,Temperature extremes,Indirect species effects,Target 7
11.3,Temperature extremes,Species disturbance,Target 7
11.3,Temperature extremes,Species mortality,Target 7
1.3,Tourism & recreation areas,Ecosystem stresses,Target 1 & 2
1.3,Tourism & recreation areas,Indirect species effects,Target 1 & 2
1.3,Tourism & recreation areas,Indirect species effects,Target 3
1.3,Tourism & recreation areas,Species disturbance,Target 1 & 2
1.3,Tourism & recreation areas,Species disturbance,Target 3
1.3,Tourism & recreation areas,Species mortality,Target 1 & 2
1.3,Tourism & recreation areas,Species mortality,Target 3
4.2,Utility & service lines,Ecosystem stresses,Target 1 & 2
4.2,Utility & service lines,Indirect species effects,Target 1 & 2
4.2,Utility & service lines,Indirect species effects,Target 3
4.2,Utility & service lines,Species disturbance,Target 1 & 2
4.2,Utility & service lines,Species disturbance,Target 3
4.2,Utility & service lines,Species mortality,Target 1 & 2
4.2,Utility & service lines,Species mortality,Target 3
8.5,Viral/prion-induced diseases,Indirect species effects,Target 3
8.5,Viral/prion-induced diseases,Species disturbance,Target 3
8.5,Viral/prion-induced diseases,Species mortality,Target 3
8.5,Viral/prion-induced diseases,Ecosystem stresses,Target 1 & 2
8.5,Viral/prion-induced diseases,Ecosystem stresses,Target 3
10.1,Volcanoes,Ecosystem stresses,NA
10.1,Volcanoes,Indirect species effects,NA
10.1,Volcanoes,Species disturbance,NA
10.1,Volcanoes,Species mortality,NA
6.2,"War, civil unrest & military exercises",Ecosystem stresses,Target 1 & 2
6.2,"War, civil unrest & military exercises",Indirect species effects,Target 1 & 2
6.2,"War, civil unrest & military exercises",Indirect species effects,Target 3
6.2,"War, civil unrest & military exercises",Species disturbance,Target 1 & 2
6.2,"War, civil unrest & military exercises",Species disturbance,Target 3
6.2,"War, civil unrest & military exercises",Species mortality,Target 1 & 2
6.2,"War, civil unrest & military exercises",Species mortality,Target 3
2.2,Wood & pulp plantations,Ecosystem stresses,Target 1 & 2
2.2,Wood & pulp plantations,Indirect species effects,Target 1 & 2
2.2,Wood & pulp plantations,Indirect species effects,Target 3
2.2,Wood & pulp plantations,Species disturbance,Target 1 & 2
2.2,Wood & pulp plantations,Species disturbance,Target 3
2.2,Wood & pulp plantations,Species mortality,Target 1 & 2
2.2,Wood & pulp plantations,Species mortality,Target 3
6.3,Work & other activities,Ecosystem stresses,Target 1 & 2
6.3,Work & other activities,Indirect species effects,Target 1 & 2
6.3,Work & other activities,Indirect species effects,Target 3
6.3,Work & other activities,Species disturbance,Target 1 & 2
6.3,Work & other activities,Species disturbance,Target 3
6.3,Work & other activities,Species mortality,Target 1 & 2
6.3,Work & other activities,Species mortality,Target 3
