scientificName
Sarcophanops steerii
Spizella wortheni
Spilornis elgini
Cryptospiza shelleyi
Sylvia nigricapillus
Circus maurus
Ninox spilonotus
Scepomycter winifredae
Pionus reichenowi
Otus moheliensis
Eriocnemis mirabilis
Haematopus chathamensis
Geothlypis beldingi
Alopecoenas rubescens
Dendrocitta bayleii
Dryocopus hodgei
Garrulax bieti
Gracupica jalla
Ducula aurorae
Aplonis brunneicapillus
Geokichla guttata
Automolus lammi
Pyrrhura leucotis
Phylloscartes ceciliae
Conothraupis mesoleuca
Macroagelaius subalaris
Bangsia aureocincta
Cnipodectes superrufus
Cyclopsitta coxeni
Amazona vinacea
Schistolais leontica
Aplonis santovestris
Rowettia goughensis
Lybius leucogaster
Apteryx rowi
Pomarea iphis
Amazilia alfaroana
Poicephalus robustus
Leptotila conoveri
Thalurania watertonii
Coccyzus rufigularis
Otus nigrorum
Pica asirensis
Sitta ledanti
Agelaius xanthomus
Dacnis hartlaubi
Dubusia carrikeri
Geospiza acutirostris
Geospiza conirostris
Geospiza propinqua
Geospiza septentrionalis
Icterus oberi
Poospiza rubecula
Sporophila iberaensis
Vermivora bachmanii
Pyrocephalus nanus
Apus acuticauda
Paraclaravis geoffroyi
Haliaeetus vociferoides
Centropus steerii
Sephanoides fernandensis
Otus feae
Cyanolimnas cerverai
Aphrastura masafucrae
Nisaetus floris
Thryophilus nicefori
Prioniturus verticalis
Gallicolumba platenae
Campephilus principalis
Liocichla bugunorum
Dendrocopos noguchii
Acrocephalus rimitarae
Rhabdotorrhinus waldeni
Corvus unicolor
Rhodonessa caryophyllacea
Alcedo euryzona
Zosterops chloronothos
Hemignathus hanapepe
Eulidia yarrellii
Psophia obscura
Oxypogon cyanolaemus
Eriocnemis isabellae
Coeligena orina
Lepidopyga lilliae
Leucopeza semperi
Crax pinima
Pauxi unicornis
Psittirostra psittacea
Apalis fuscigularis
Charadrius obscurus
Pareudiastes silvestris
Pauxi koepckeae
Symposiachrus boanensis
Calyptura cristata
Crax alberti
Turdus helleri
Garrulax rufifrons
Myadestes palmeri
Crithagra concolor
Aythya innotata
Cinclodes aricomae
Alopecoenas erythropterus
Aegotheles savesi
Pareudiastes pacificus
Artisornis moreaui
Himantopus novaezelandiae
Pithecophaga jefferyi
Pedionomus torquatus
Anthracoceros montani
Charmosyna amabilis
Corvus kubaryi
Todiramphus gambieri
Strigops habroptila
Leucopsar rothschildi
Lophura edwardsi
Gracula robusta
Hapalopsittaca fuertesi
Houbaropsis bengalensis
Gallicolumba keayi
Eurostopodus exul
Sarothrura ayresi
Geospiza heliobates
Geospiza pauper
Scytalopus robbinsi
Mimus graysoni
Pternistis ochropectus
Amazona vittata
Toxostoma guttatum
Nemosia rourei
Lophornis brachylophus
Formicivora paludicola
Buteo ridgwayi
Loxops ochraceus
Terenura sicki
Grallaria chthonia
Antilophia bokermanni
Troglodytes monticola
Lipaugus weberi
Cinclodes palliatus
Merulaxis stresemanni
Pyrrhura orcesi
Oreomystis bairdi
Loxops caeruleirostris
Ara glaucogularis
Lathamus discolor
Cyanoramphus malherbi
Neophema chrysogaster
Geronticus eremita
Pomarea nigra
Zosterops albogularis
Gymnomyza aubryana
Anthochaera phrygia
Pipile pipile
Leptotila wellsi
Gymnogyps californianus
Bubo shelleyi
Heteromirafra archeri
Nothoprocta taczanowskii
Numenius tenuirostris
Leucocarbo onslowi
Thalasseus bernsteini
Eupherusa cyanophrys
Nothura minor
Jacamaralcyon tridactyla
Biatas nigropectus
Platyrinchus leucoryphus
Poospiza garleppi
Onychorhynchus swainsoni
Alopecoenas canifrons
Ptilinopus huttoni
Laterallus levraudi
Ara rubrogenys
Torreornis inexpectata
Ptilinopus chrysogaster
Bostrychia bocagei
Lanius newtoni
Penelope albipennis
Turdus xanthorhynchus
Sitta insularis
Otus hartlaubi
Amaurocichla bocagii
Columba thomensis
Trochalopteron ngoclinhense
Ortalis erythroptera
Percnostola arenarum
Grallaria alleni
Tachybaptus pelzelnii
Hypothymis coelestis
Nesoenas mayeri
Loxia megaplaga
Zosterops ficedulinus
Lonchura oryzivora
Alopecoenas sanctaecrucis
Grallaria fenwickorum
Pternistis atrifrons
Cacatua sulphurea
Anarhynchus frontalis
Pterodroma magentae
Gubernatrix cristata
Garrulax courtoisi
Acridotheres melanopterus
Henicophaps foersteri
Haliaeetus leucoryphus
Accipiter luteoschistaceus
Accipiter brachyurus
Ciconia boyciana
Grallaria gigantea
Chlorophoneus kupeensis
Cistothorus apolinari
Emberiza jankowskii
Hypopyrrhus pyrohypogaster
Amazona lilacina
Ophrysia superciliosa
Tadorna cristata
Vini ultramarina
Nipponia nippon
Myiotheretes pernix
Myrmoderus ruficauda
Melidectes princeps
Pomarea dimidiata
Megalurulus rufus
Tephrophilus wetmorei
Leptodon forbesi
Pyrrhura griseipectus
Dreptes thomensis
Heteroglaux blewitti
Puffinus bryani
Diomedea amsterdamensis
Puffinus myrtae
Pycnonotus zeylanicus
Larus fuliginosus
Phalacrocorax featherstoni
Pseudobulweria aterrima
Pseudobulweria becki
Pseudobulweria macgillivrayi
Pterodroma brevipes
Pterodroma madeira
Pterodroma cahow
Pterodroma hasitata
Pterodroma caribbaea
Puffinus auricularis
Puffinus heinrothi
Nesofregetta fuliginosa
Hydrobates macrodactylus
Fregetta maoriana
Hydrobates monteiroi
Pterodroma deserta
Leucocarbo carunculatus
Leucocarbo chalconotus
Leucocarbo ranfurlyi
Ardeotis nigriceps
Pseudibis davisoni
Ceyx sangirensis
Otus siaoensis
Thaumatibis gigantea
Ardea insignis
Calidris pygmaea
Dicaeum quadricolor
Acridotheres tertius
Acridotheres tricolor
Oriolus isabellae
Cissa thalassina
Coracornis sanghirensis
Eutrichomyias rowleyi
Hypsipetes platenae
Zosterops nehrkorni
Diglossa venezuelensis
Myrmotherula snowi
Anodorhynchus leari
Mergus octosetaceus
Podiceps taczanowskii
Podiceps gallardoi
Columbina cyanopis
Todiramphus godeffroyi
Zosterops modestus
Aquila adalberti
Thripophaga cherriei
Megalurulus grosvenori
Psarocolius cassini
Eleothreptus candicans
Psittacula eques
Pachyramphus spodiurus
Anodorhynchus glaucus
Aythya baeri
Acrocephalus longirostris
Amazona imperialis
Anthocephala floriceps
Atlapetes blancae
Eclectus cornelia
Pelecanoides whenuahouensis
Phytotoma raimondii
